date,temperature,humidity,precipitation,source,flood
2025-01-16T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-01-17T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-01-18T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-01-19T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-01-20T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-01-21T08:00:00,27.5,75.0,0.057412974536418915,chirps+estimated,0
2025-01-22T08:00:00,27.5,75.0,0.10718461126089096,chirps+estimated,0
2025-01-23T08:00:00,27.5,75.0,0.060400426387786865,chirps+estimated,0
2025-01-24T08:00:00,27.5,75.0,0.02849009446799755,chirps+estimated,0
2025-01-25T08:00:00,27.5,75.0,0.011495506390929222,chirps+estimated,0
2025-01-26T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-01-27T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-01-28T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-01-29T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-01-30T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-01-31T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-01T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-02T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-03T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-04T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-05T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-06T08:00:00,27.5,75.0,1.1216944456100464,chirps+estimated,0
2025-02-07T08:00:00,27.5,75.0,2.6562981605529785,chirps+estimated,0
2025-02-08T08:00:00,27.5,75.0,7.0759100914001465,chirps+estimated,0
2025-02-09T08:00:00,27.5,75.0,2.414381265640259,chirps+estimated,0
2025-02-10T08:00:00,27.5,75.0,3.6180291175842285,chirps+estimated,0
2025-02-11T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-12T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-13T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-14T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-15T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-16T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-17T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-18T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-19T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-20T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-21T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-22T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-23T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-24T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-25T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-02-26T08:00:00,27.5,75.0,0.5776560306549072,chirps+estimated,0
2025-02-27T08:00:00,27.5,75.0,0.21603639423847198,chirps+estimated,0
2025-02-28T08:00:00,27.5,75.0,0.7074481248855591,chirps+estimated,0
2025-03-01T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-02T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-03T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-04T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-05T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-06T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-07T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-08T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-09T08:00:00,27.5,75.0,1.6827012300491333,chirps+estimated,0
2025-03-10T08:00:00,27.5,75.0,1.923087239265442,chirps+estimated,0
2025-03-11T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-12T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-13T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-14T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-15T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-16T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-17T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-18T08:00:00,27.5,75.0,0.0,chirps+estimated,0
2025-03-19T08:00:00,27.5,75.0,0.0,chirps+estimated,0
