unnamed:_0,*year_2023,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,year,flood,precipitation,temperature,humidity,month,day,risk_level,is_monsoon_season,temp_humidity_interaction,humidity_precip_interaction,temp_precip_interaction,monsoon_precip_interaction,saturation_risk
,,,,,FLOOD,,,,,2023,1,40.0,27.700222307821274,83.87705571568546,,,,,23.234130898499984,311.48349114317045,102.86677180382462,,0
# ,DATE ,MONTH ,BARANGAY ,LOCATION ,,WEATHER DISTURBANCES ,REMARKS ,LATITUDE ,LONGITUDE,2023,1,40.0,29.747383344241097,78.9367681321981,,,,,23.48162301583971,293.13737717164565,110.46905184471872,,0
,,,,,DEPTH ,,,,,2023,1,40.0,30.11746432852059,80.52290629086052,,,,,24.25145757843798,299.0276155315882,111.84337425035748,,0
,,,,,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,,2023,1,40.0,30.18773228165542,81.34896747705177,,,,,24.557408515863326,302.0952532780167,112.10431935830347,,0
1,,,,Bernabe Phase 3 ,,,,14.47282934,120.998285,2023,1,40.0,30.482781359729085,90.51680640337695,,,,,27.59204018975065,336.14068382686224,113.20000537294469,,1
,,,,,Level ,Thunderstorm ,of 1400H ,,,2023,1,40.0,30.46131380227547,91.07109361381535,,,,,27.741451608868353,338.1990693284778,113.12028405124458,,1
,,,,,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,,2023,1,40.0,24.664514696348284,85.00831280419246,,,,,20.966887804707767,315.6844958673113,91.59345281517687,,1
2,,,,Canaynay Ave. ,,,,14.47510689,121.0011236,2023,1,40.0,27.81896498198133,86.63812921864286,,,,,24.10183082837799,321.73693657787044,103.30773128171118,,1
,,,,,Level ,Thunderstorm ,of 1230H ,,,2023,1,40.0,27.439769834559364,90.98554714368757,,,,,24.96622471894237,337.88138634660606,101.89956277441514,,1
,,,,,Gutter,InterTropicalConvergenceZone/Localized,Subsided as,,,2023,1,40.0,28.51314186490125,70.0,,,,,19.959199305430875,259.9500446693016,105.88560716347446,,0
3,,,,PNHS Main ,,,,14.47867039,120.9983694,2023,1,40.0,26.59807816883218,87.2617493980294,,,,,23.209948316378306,324.0527950562734,98.77388011579286,,1
,,,,,Level ,Thunderstorm ,of1230H ,,,2023,1,40.0,30.425069631873065,88.35540255904318,,,,,26.882192752110644,328.1141548856771,112.98568871245733,,1
