temperature,humidity,precipitation,flood,risk_level,month,is_monsoon_season,season,year,latitude,longitude,flood_depth_m,weather_type,flood_depth_category,weather_description
27.5,75.0,25.0,1,1,7,1,wet,2022,,,0.5,,knee,
27.5,75.0,5.0,0,0,7,1,wet,2022,,,0.1,,gutter,
27.5,75.0,25.0,1,1,7,1,wet,2022,,,0.5,,knee,
27.5,75.0,5.0,0,0,7,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2022,,,0.1,,gutter,
27.5,75.0,25.0,1,1,7,1,wet,2022,,,0.5,,knee,
27.5,75.0,5.0,0,0,7,1,wet,2022,,,0.1,,gutter,
27.5,75.0,50.0,1,2,7,1,wet,2022,,,1.0,,waist,
27.5,75.0,5.0,0,0,3,0,dry,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,3,0,dry,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2022,,,0.1,,gutter,
27.5,80.0,25.0,1,1,5,0,dry,2022,14.49583651,121.0134215,0.5,thunderstorm,knee,localized thunderstorms 
27.5,80.0,25.0,1,1,5,0,dry,2022,14.49482893,121.015504,0.5,thunderstorm,knee,localized thunderstorms 
27.5,75.0,50.0,1,2,7,1,wet,2022,,,1.0,,waist,
27.5,75.0,5.0,0,0,3,0,dry,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,3,0,dry,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,3,0,dry,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,3,0,dry,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,3,0,dry,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,3,0,dry,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,3,0,dry,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,9,1,wet,2022,,,0.1,,gutter,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,5.0,0,0,9,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,9,1,wet,2022,,,0.1,,gutter,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,5.0,0,0,9,1,wet,2022,,,0.1,,gutter,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,5.0,0,0,9,1,wet,2022,,,0.1,,gutter,
27.5,75.0,50.0,1,2,9,1,wet,2022,,,1.0,,waist,
27.5,75.0,5.0,0,0,9,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,9,1,wet,2022,,,0.1,,gutter,
27.5,75.0,50.0,1,2,9,1,wet,2022,,,1.0,,waist,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,5.0,0,0,9,1,wet,2022,,,0.1,,gutter,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,50.0,1,2,9,1,wet,2022,,,1.0,,waist,
27.5,75.0,25.0,1,1,9,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,10,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,10,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,10,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,10,1,wet,2022,,,0.5,,knee,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,25.0,1,1,10,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,10,1,wet,2022,,,0.5,,knee,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,25.0,1,1,10,1,wet,2022,14.46218759,121.031898,0.5,,knee,
27.5,75.0,25.0,1,1,10,1,wet,2022,14.46953007,121.0240237,0.5,,knee,
27.5,75.0,25.0,1,1,10,1,wet,2022,,,0.5,,knee,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,25.0,1,1,10,1,wet,2022,,,0.5,,knee,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,50.0,1,2,10,1,wet,2022,,,1.0,,waist,
27.5,75.0,50.0,1,2,10,1,wet,2022,,,1.0,,waist,
27.5,75.0,25.0,1,1,10,1,wet,2022,,,0.5,,knee,
27.5,75.0,50.0,1,2,10,1,wet,2022,,,1.0,,waist,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,50.0,1,2,10,1,wet,2022,,,1.0,,waist,
27.5,75.0,50.0,1,2,10,1,wet,2022,,,1.0,,waist,
27.5,75.0,75.0,1,2,10,1,wet,2022,,,1.5,,chest,
27.5,75.0,50.0,1,2,10,1,wet,2022,,,1.0,,waist,
27.5,75.0,75.0,1,2,10,1,wet,2022,14.47973091,121.0001216,1.5,,chest,
27.5,75.0,25.0,1,1,10,1,wet,2022,14.53223104,120.9958087,0.5,,knee,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,25.0,1,1,10,1,wet,2022,,,0.5,,knee,
27.5,75.0,50.0,1,2,10,1,wet,2022,,,1.0,,waist,
27.5,75.0,25.0,1,1,10,1,wet,2022,,,0.5,,knee,
27.5,75.0,75.0,1,2,10,1,wet,2022,14.47055526,121.005368,1.5,,chest,
27.5,75.0,5.0,0,0,10,1,wet,2022,,,0.1,,gutter,
27.5,75.0,75.0,1,2,10,1,wet,2022,14.47013279,121.0115039,1.5,,chest,
27.5,75.0,25.0,1,1,10,1,wet,2022,,,0.5,,knee,
27.5,75.0,50.0,1,2,10,1,wet,2022,,,1.0,,waist,
27.5,75.0,25.0,1,1,10,1,wet,2022,,,0.5,,knee,
27.5,75.0,25.0,1,1,10,1,wet,2022,14.49540317,120.9986998,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,5.0,0,0,7,1,wet,2023,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2023,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2023,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2023,,,0.1,,gutter,
27.5,75.0,5.0,0,0,5,0,dry,2023,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2023,,,0.1,,gutter,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,50.0,1,2,7,1,wet,2023,,,1.0,,waist,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,5.0,0,0,7,1,wet,2023,,,0.1,,gutter,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,5.0,0,0,7,1,wet,2023,,,0.1,,gutter,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,5.0,0,0,5,0,dry,2023,,,0.1,,gutter,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,5.0,0,0,7,1,wet,2023,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2023,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2023,,,0.1,,gutter,
27.5,75.0,5.0,0,0,7,1,wet,2023,,,0.1,,gutter,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,25.0,1,1,7,1,wet,2023,,,0.5,,knee,
27.5,75.0,5.0,0,0,7,1,wet,2023,,,0.1,,gutter,
27.5,85.0,25.0,1,1,7,1,wet,2023,,,0.5,monsoon,knee,southwest monsoon/localized
27.5,85.0,5.0,0,0,6,1,wet,2023,,,0.1,monsoon,gutter,southwest monsoon/localized
27.5,85.0,50.0,1,2,7,1,wet,2023,,,1.0,monsoon,waist,southwest monsoon/localized
27.5,85.0,25.0,1,1,7,1,wet,2023,,,0.5,monsoon,knee,southwest monsoon/localized
27.5,85.0,25.0,1,1,7,1,wet,2023,,,0.5,monsoon,knee,southwest monsoon/localized
27.5,85.0,5.0,0,0,7,1,wet,2023,,,0.1,monsoon,gutter,southwest monsoon/low pressure
27.5,85.0,5.0,0,0,7,1,wet,2023,,,0.1,monsoon,gutter,southwest monsoon/low pressure
27.5,85.0,5.0,0,0,7,1,wet,2023,,,0.1,monsoon,gutter,southwest monsoon/low pressure
27.5,85.0,5.0,0,0,7,1,wet,2023,,,0.1,monsoon,gutter,southwest monsoon/low pressure
27.5,85.0,5.0,0,0,7,1,wet,2023,,,0.1,monsoon,gutter,southwest monsoon/low pressure
27.5,85.0,25.0,1,1,7,1,wet,2023,,,0.5,monsoon,knee,southwest monsoon/low pressure
27.5,85.0,50.0,1,2,7,1,wet,2023,,,1.0,monsoon,waist,southwest monsoon/low pressure
27.5,85.0,25.0,1,1,7,1,wet,2023,,,0.5,monsoon,knee,southwest monsoon/low pressure
27.5,85.0,5.0,0,0,7,1,wet,2023,,,0.1,monsoon,gutter,southwest monsoon/low pressure
27.5,85.0,5.0,0,0,7,1,wet,2023,,,0.1,monsoon,gutter,southwest monsoon/low pressure
27.5,85.0,50.0,1,2,7,1,wet,2023,,,1.0,monsoon,waist,southwest monsoon/low pressure
27.5,85.0,25.0,1,1,7,1,wet,2023,,,0.5,monsoon,knee,southwest monsoon/low pressure
27.5,85.0,25.0,1,1,7,1,wet,2023,,,0.5,monsoon,knee,southwest monsoon/low pressure
27.5,85.0,50.0,1,2,7,1,wet,2023,,,1.0,monsoon,waist,southwest monsoon/low pressure
27.5,85.0,25.0,1,1,7,1,wet,2023,,,0.5,monsoon,knee,southwest monsoon/low pressure
