record_num,date,month,day,year,barangay,location,latitude,longitude,flood_depth,weather_disturbance,remarks,time_reported,time_subsided
1,2024-06-07,6.0,7.0,2024,,June Ave Gutter Level,14.475073910005506,,gutter,,,,
2,2024-06-07,6.0,7.0,2024,,June Gatchalian Knee Level,14.474189978570331,,knee,,,,
3,2024-06-07,6.0,7.0,2024,,June San Dionisio SM Sucat Gutter Level,14.484014007435768,,gutter,,,,
4,2024-06-07,6.0,7.0,2024,,June San Isidro Ave. Waist Level,14.47236131739471,,waist,,,,
5,2024-06-07,6.0,7.0,2024,,June Sitio Libjo Waist Level,14.500206764635475,,waist,,,,
6,2024-06-07,6.0,7.0,2024,,June Sto. Ni,14.46334602197292,,knee,,,,
7,2024-06-07,6.0,7.0,2024,,June El Dorado Knee Level,14.479764999578846,,knee,,,,
8,2024-06-07,6.0,7.0,2024,,June Ruiz Knee Level,14.485042991870833,,knee,,,,
9,2024-06-07,6.0,7.0,2024,,June High School Knee Level,14.479968820877692,,knee,,,,
10,2024-06-07,6.0,7.0,2024,,June France Street Gutter Level,14.48423817578842,,gutter,,,,
11,2024-06-07,6.0,7.0,2024,,June Malaca,14.475624206396539,,knee,,,,
12,2024-06-07,6.0,7.0,2024,,June DonBosco Compound Knee Level,14.484951745640139,,knee,,,,
13,2024-06-07,6.0,7.0,2024,,June Marcelo Green Ilang,14.461764071079767,,gutter,,,,
14,2024-06-07,6.0,7.0,2024,,June Ireneville Gutter Level,14.476474948627438,,gutter,,,,
15,2024-06-07,6.0,7.0,2024,,June Motorola Gutter Level,14.476470900931758,,gutter,,,,
16,2024-06-07,6.0,7.0,2024,,June Napa Street Knee Level,14.470745747304356,,knee,,,,
17,2024-06-07,6.0,7.0,2024,,June Creekside Gutter Level Subsided,14.463329814586718,,gutter,,,,
18,2024-06-07,6.0,7.0,2024,,June Armela St Knee Level Subsided,14.470017156810366,,knee,,,,
19,2024-06-07,6.0,7.0,2024,,June Valley,14.472764738170182,,knee,,,,
20,2024-06-07,6.0,7.0,2024,,June San Antonio Bridge Knee Level,14.471649383275464,,knee,,,,
21,2024-06-07,6.0,7.0,2024,,June Porres Ni,14.472654037758867,,knee,,,,
22,2024-06-07,6.0,7.0,2024,,June Sun Valley Annex,14.491435843589,,knee,,,,
23,2024-06-23,6.0,23.0,2024,,June France Street Gutter Level Subsided,14.481514360482887,,gutter,,,,
24,2024-06-23,6.0,23.0,2024,,June DonBosco Russia Street Gutter Level Subsided,14.486614537055434,,gutter,,,,
25,2024-06-23,6.0,23.0,2024,,June Sito Wella Waist Level Subsided,14.507113708313183,,waist,,,,
26,2024-06-23,6.0,23.0,2024,,June Merville Sta Agueda Waist Level Subsided,14.503944143445306,,waist,,,,
30,2024-07-24,7.0,24.0,2024,,July Baclaran Extension Knee Level,14.529068331163138,,knee,,,,
123,2024-07-28,7.0,28.0,2024,,July San Dionisio Wilcon Gutter Level Monsoon,14.4811841557345,,gutter,,,,
